,0
SD,622.5075528700901
DC,460.76003415883895
CA,376.9551214476297
DE,361.9361378611251
ID,357.52324598478464
HI,351.3301156134244
LA,334.15141430948415
ME,324.75790243011187
MS,315.00773594636416
CO,313.40098763194896
MA,308.8987593812221
NY,306.5426971477042
WA,297.09172259507864
OR,293.2799804508524
MN,288.7596899224798
WV,284.03041825095016
FL,283.8251877699529
KS,281.6124296550032
GA,274.84806280070893
AZ,273.69175627240156
TN,270.290785287716
IA,268.2660005168408
SC,268.05481780516317
NH,266.9585372134946
VA,263.0306762634236
RI,262.0463399630928
NV,261.2840718253455
AK,259.1644908616192
OK,251.0894265472529
AR,248.63027806385122
AL,244.21695787329818
NE,244.09009009009006
NC,241.3332780564657
UT,237.69945642644208
PA,237.36238763761216
MT,236.66115094686546
NJ,231.0547129633649
MD,229.62892192456147
ND,229.22422954303886
KY,224.3665485099121
MO,222.4189340290717
TX,217.96624820730392
WY,212.74685816876092
WI,204.48268536222653
MI,203.81617481414742
OH,192.30064720967175
CT,190.41363890441568
NM,188.11521887049196
IN,184.24508670520197
IL,174.18147549811573
